"Country","State","City","Population","Latitude","Longitude","Elevation"
"Botswana","Gaborone","Gaborone",231626,-24.65,25.91,1.e3
"Botswana","Francistown","Francistown",89979,-21.17,27.5,9.9e2
"Botswana","Kweneng","Molepolole",67598,-24.400000000000002,25.51,1.1e3
"Botswana","Kweneng","Mogoditshane",57637,-24.63,25.87,1.e3
"Botswana","Okavango","Maun",55784,-19.990000000000002,23.42,9.4e2
"Botswana","SelibePhikwe","Selibe Phikwe",49724,-21.98,27.830000000000002,8.7e2
"Botswana","SerowePalapye","Serowe",47447,-22.39,26.71,1.1e3
"Botswana","Ngwaketse","Kanye",45196,-24.97,25.34,1.4e3
"Botswana","Kgatleng","Mochudi",44815,-24.37,26.150000000000002,9.7e2
"Botswana","Mahalapye","Mahalapye",41316,-23.1,26.82,1.e3
"Botswana","SerowePalapye","Palapye",36211,-22.56,27.13,9.2e2
"Botswana","South‐East","Tlokweng",35982,-24.53,25.97,1.e3
"Botswana","Lobatse","Lobatse",29082,-25.22,25.68,1.2e3
"Botswana","South‐East","Ramotswa",27760,-24.830000000000002,25.84,1.e3
"Botswana","Boteti","Letlhakane",20841,-21.42,25.59,9.9e2
"Botswana","Tutume","Tonota",20007,-21.44,27.48,9.5e2
"Botswana","Ngwaketse","Moshupa",19780,-24.77,25.41,1.1e3
"Botswana","Kweneng","Thamaga",19547,-24.72,25.53,1.1e3
"Botswana","Jwaneng","Jwaneng",18063,-25.42,25.55,1.3e3
"Botswana","Bobonong","Bobonong",17720,-21.97,28.42,6.9e2
"Botswana","Tutume","Tutume",15862,-20.51,27.05,1.1e3
"Botswana","Kweneng","Gabane",14842,-24.66,25.78,1.1e3
"Botswana","Bobonong","Mmadinare",12873,-21.88,27.75,8.5e2
"Botswana","Ghanzi","Ghanzi",12267,-21.7,21.64,1.1e3
"Botswana","Kweneng","Kopong",9320,-24.48,25.88,9.8e2
"Botswana","Orapa","Orapa",9189,-21.28,25.37,9.5e2
"Botswana","KgalagadiSouth","Tsabong",8325,-26.01,22.400000000000002,9.7e2
"Botswana","Mahalapye","Shoshong",8298,-22.95,26.48,1.2e3
"Botswana","Chobe","Kasane",7638,-17.81,25.150000000000002,9.5e2
"Botswana","South‐East","Otse",7636,-25.02,25.73,1.4e3
"Botswana","Okavango","Gumare",7387,-19.22,22.2,9.7e2
"Botswana","SerowePalapye","Lerala",6681,-22.7803,27.7769,"null"
"Botswana","Ngwaketse","Molapowabojang",6349,-25.,25.1667,"null"
"Botswana","Kweneng","Letlhakeng",6032,-24.07,25.03,1.1e3
"Botswana","Kgatleng","Bokaa",5765,-24.45,26.02,9.6e2
"Botswana","North‐East","Masunga",5696,-20.67,27.42,1.2e3
"Botswana","Ngamiland","Shakawe",5651,-18.36,21.84,1.e3
"Botswana","Kweneng","Metsimotlhaba",5544,-24.55,25.8,9.9e2
"Botswana","Tutume","Maitengwe",5450,-19.98,26.43,9.4e2
"Botswana","Kweneng","Mmankgodi",5370,-24.7239,25.6389,"null"
"Botswana","Ngwaketse","Lotlhakane",5236,-25.0861,25.4583,"null"
"Botswana","North‐East","Tati",5234,-21.35,27.45,9.9e2
"Botswana","Bobonong","Tsienyane",5222,-21.02,24.330000000000002,9.3e2
"Botswana","Ngwaketse","Mmathethe",5153,-25.3153,25.2694,"null"
"Botswana","Kweneng","Lentsweletau",4992,-24.38,25.85,1.1e3
"Botswana","Kweneng","Mmopane",4927,-24.57,25.87,1.e3
"Botswana","Mahalapye","Sefhare",4861,-23.029,27.4691,"null"
"Botswana","Tutume","Nata",4794,-20.21,26.19,9.2e2
"Botswana","Tutume","Gweta",4689,-20.2,25.25,9.3e2
"Botswana","Tutume","Mathangwane",4675,-21.03,27.32,1.e3
"Botswana","KgalagadiNorth","Hukuntsi",4403,-24.,21.75,1.1e3
"Botswana","Bobonong","Tsetsebjwe",4396,-22.4159,28.398,"null"
"Botswana","KgalagadiNorth","Kang",4229,-23.75,22.830000000000002,1.1e3
"Botswana","Bobonong","Sefophe",4114,-22.18,27.97,8.4e2
"Botswana","Tutume","Borolong",3949,-21.1033,27.3361,"null"
"Botswana","Tutume","Nkange",3831,-20.2989,27.1356,"null"
"Botswana","Kweneng","Mogoditshane Botswana Defence Force",3787,-24.68,25.810000000000002,1.1e3
"Botswana","Kgatleng","Oodi",3728,-24.5731,26.0339,"null"
"Botswana","Mahalapye","Ramokgonami",3681,-22.93,27.47,9.7e2
"Botswana","Kweneng","Kumakwane",3477,-24.6553,25.6992,"null"
"Botswana","SerowePalapye","Maunatlala",3361,-22.57,27.57,8.6e2
"Botswana","Ngwaketse","Manyana",3338,-23.400000000000002,21.72,1.2e3
"Botswana","Bobonong","Mopipi",3301,-21.18,24.88,9.1e2
"Botswana","Sowa","Sowa",3141,-20.05,26.2,9.3e2
"Botswana","Ngwaketse","Pitsane",3101,-25.47,25.580000000000002,1.3e3
"Botswana","Ngwaketse","Good Hope",3075,-25.4671,25.4392,"null"
