"Country","State","City","Population","Latitude","Longitude","Elevation"
"Bulgaria","Sofia grad","Sofia",1260120,42.69,23.31,5.7e2
"Bulgaria","Plovdiv","Plovdiv",346757,42.15,24.75,1.7e2
"Bulgaria","Varna","Varna",335177,43.21,27.900000000000002,16.
"Bulgaria","Burgas","Burgas",206371,42.51,27.47,30.
"Bulgaria","Ruse","Ruse",158848,43.85,25.98,51.
"Bulgaria","Stara Zagora","Stara Zagora",140710,42.42,25.63,2.e2
"Bulgaria","Pleven","Pleven",106954,43.42,24.62,98.
"Bulgaria","Sliven","Sliven",91620,42.68,26.32,2.6e2
"Bulgaria","Dobrich","Dobric",90375,43.58,27.830000000000002,2.e2
"Bulgaria","Yambol","Jambol",81048,42.5,26.52,1.4e2
"Bulgaria","Shumen","Sumen",77709,43.28,26.93,2.3e2
"Bulgaria","Haskovo","Haskovo",76587,41.94,25.560000000000002,2.e2
"Bulgaria","Pernik","Pernik",75191,42.61,23.03,7.e2
"Bulgaria","Pazardzhik","Pazardzik",71979,42.2,24.330000000000002,2.1e2
"Bulgaria","Veliko Tarnovo","Veliko Tarnovo",71150,43.09,25.63,3.1e2
"Bulgaria","Blagoevgrad","Blagoevgrad",70881,42.03,23.09,4.6e2
"Bulgaria","Vraca","Vraca",60877,43.22,23.56,3.3e2
"Bulgaria","Gabrovo","Gabrovo",58950,42.9,25.310000000000002,4.2e2
"Bulgaria","Plovdiv","Asenovgrad",54778,42.02,24.88,2.2e2
"Bulgaria","Vidin","Vidin",48071,44.01,22.87,34.
"Bulgaria","Stara Zagora","Kazanlak",47325,42.63,25.400000000000002,3.9e2
"Bulgaria","Kyustendil","Kjustendil",44532,42.300000000000004,22.69,5.3e2
"Bulgaria","Montana","Montana",44502,43.42,23.23,1.4e2
"Bulgaria","Kardzhali","Kardzali",43880,41.65,25.37,2.5e2
"Bulgaria","Haskovo","Dimitrovgrad",38015,42.06,25.61,1.e2
"Bulgaria","Targovishte","Targoviste",37341,43.25,26.580000000000002,2.e2
"Bulgaria","Lovech","Lovec",37297,43.15,24.72,1.7e2
"Bulgaria","Kyustendil","Dupnica",36185,42.27,23.12,5.9e2
"Bulgaria","Silistra","Silistra",35230,44.11,27.27,62.
"Bulgaria","Razgrad","Razgrad",33416,43.53,26.53,2.1e2
"Bulgaria","Veliko Tarnovo","Gorna Orjahovica",32792,43.13,25.7,1.6e2
"Bulgaria","Blagoevgrad","Petric",30722,41.4,23.22,1.8e2
"Bulgaria","Smolyan","Smoljan",30507,41.59,24.7,1.1e3
"Bulgaria","Plovdiv","Karlovo",30340,42.660000000000004,24.810000000000002,6.3e2
"Bulgaria","Veliko Tarnovo","Svistov",30157,43.62,25.35,55.
"Bulgaria","Blagoevgrad","Sandanski",28058,41.56,23.29,2.5e2
"Bulgaria","Sofia","Samokov",27193,42.35,23.57,9.4e2
"Bulgaria","Montana","Lom",24300,43.83,23.25,32.
"Bulgaria","Gabrovo","Sevlievo",24065,43.03,25.1,2.e2
