"Country","State","City","Population","Latitude","Longitude","Elevation"
"Canada","Ontario","Toronto",2731571,43.65,-79.38,92.
"Canada","Quebec","Montreal",1704694,45.52,-73.57,47.
"Canada","Alberta","Calgary",1149552,51.050000000000004,-114.06,1044.
"Canada","Alberta","Edmonton",932546,53.57,-113.54,668.
"Canada","Ontario","Ottawa",883391,45.42,-75.71000000000001,69.
"Canada","Ontario","Mississauga",721599,43.6,-79.65,173.
"Canada","Manitoba","Winnipeg",663617,49.88,-97.17,233.
"Canada","British Columbia","Vancouver",631486,49.28,-123.13000000000001,37.
"Canada","Ontario","Brampton",593638,43.683333,-79.766667,"null"
"Canada","Quebec","Quebec City",531902,46.82,-71.23,74.
"Canada","Ontario","Hamilton",519949,43.26,-79.85000000000001,208.
"Canada","British Columbia","Surrey",517887,49.183333,-122.85,"null"
"Canada","Quebec","Laval",401553,45.6,-73.75,91.
"Canada","Ontario","London",383822,42.97,-81.24,248.
"Canada","Ontario","Markham",328966,43.883333,-79.25,"null"
"Canada","Nova Scotia","Halifax",297943,44.67,-63.61,52.
"Canada","Ontario","Vaughan",288301,43.83341,-79.53291,213.
"Canada","Quebec","Gatineau",265349,45.484559,-75.645103,"null"
"Canada","Quebec","Longueuil",239700,45.53121,-73.51806,18.
"Canada","British Columbia","Burnaby",223218,49.229198,-122.947237,"null"
"Canada","Saskatchewan","Saskatoon",222189,52.15,-106.66,490.
"Canada","Ontario","Kitchener",219153,43.46,-80.5,337.
"Canada","Ontario","Windsor",210891,42.300000000000004,-83.03,188.
"Canada","Saskatchewan","Regina",193100,50.45,-104.61,580.
"Canada","British Columbia","Richmond",190473,49.166667,-123.133333,"null"
"Canada","Ontario","Richmond Hill",185541,43.871456,-79.437253,"null"
"Canada","Ontario","Oakville",182520,43.45,-79.683333,173.
"Canada","British Columbia","Central Okanagan",179839,50.03,-119.87,1497.
"Canada","Ontario","Burlington",175779,43.324806,-79.802111,"null"
"Canada","Ontario","Sudbury",161531,46.49,-81.01,261.
"Canada","Quebec","Sherbrooke",154601,45.4,-71.9,184.
"Canada","Ontario","Oshawa",149607,43.89,-78.86,103.
"Canada","Ontario","Barrie",141434,44.38,-79.68,216.
"Canada","British Columbia","Abbotsford",133497,49.06,-122.3,37.
"Canada","Ontario","St. Catharines",131400,43.158965,-79.245594,98.
"Canada","Quebec","Trois‐Rivières",131338,46.35,-72.57000000000001,30.
"Canada","Ontario","Cambridge",126748,43.358333,-80.313889,329.
"Canada","Ontario","Kingston",123363,44.230000000000004,-76.5,96.
"Canada","Ontario","Whitby",122022,43.903205,-78.94278,91.
"Canada","Ontario","Guelph",121688,43.56,-80.26,335.
"Canada","British Columbia","Kelowna",117312,49.89,-119.46000000000001,366.
"Canada","Ontario","Ajax",109600,43.844048,-79.018216,90.
"Canada","Newfoundland and Labrador","St. John's",108860,47.58,-52.69,35.
"Canada","Ontario","Thunder Bay",108359,48.42,-89.28,215.
"Canada","Quebec","Chicoutimi‐Jonquiere",106666,48.43,-71.08,20.
"Canada","Alberta","Red Deer",100418,52.27,-113.83,857.
"Canada","Ontario","Waterloo",98780,43.466667,-80.516667,329.
"Canada","British Columbia","Delta",96723,49.148688,-122.912393,"null"
"Canada","Ontario","Brantford",93650,43.15,-80.26,208.
"Canada","Quebec","Saint‐Jean‐sur‐Richelieu",92394,45.31,-73.26,34.
"Canada","Ontario","Pickering",88721,43.833333,-79.083333,84.
"Canada","Quebec","Brossard",85721,45.45,-73.48333,"null"
"Canada","British Columbia","Kamloops",85678,50.68,-120.34,348.
"Canada","Ontario","Milton",84362,43.51,-79.89,200.
"Canada","British Columbia","Nanaimo",83811,49.21,-123.97,16.
"Canada","Alberta","Lethbridge",83517,49.69,-112.83,906.
"Canada","Ontario","Niagara Falls",82997,43.116667,-79.066667,184.
"Canada","British Columbia","Maple Ridge",82256,49.21939,-122.60193,61.
"Canada","British Columbia","Victoria",80017,48.43,-123.37,8.
"Canada","Ontario","Newmarket",79978,44.06,-79.45,239.
"Canada","Ontario","Peterborough",78698,44.300000000000004,-78.34,212.
"Canada","British Columbia","Chilliwack",77936,49.17,-121.96000000000001,13.
"Canada","Quebec","Drummondville",75423,45.89,-72.49,75.
"Canada","Ontario","Kawartha Lakes",75423,44.352791,-78.744965,"null"
"Canada","British Columbia","Prince George",74003,53.910000000000004,-122.77,574.
"Canada","Ontario","Sault Sainte Marie",73368,46.53,-84.35000000000001,185.
"Canada","Ontario","Sarnia",72366,42.99,-82.4,184.
"Canada","Alberta","Wood Buffalo",71589,56.74,-111.43,322.
