"Country","State","City","Population","Latitude","Longitude","Elevation"
"Germany","Berlin","Berlin",3677472,52.52,13.38,74.
"Germany","Hamburg","Hamburg",1787408,53.55,10.,8.
"Germany","Bavaria","Munich",1500560,48.14,11.58,521.
"Germany","North Rhine‐Westphalia","Cologne",1081701,50.95,6.97,43.
"Germany","Hesse","Frankfurt",736414,50.120000000000005,8.68,112.
"Germany","North Rhine‐Westphalia","Düsseldorf",639407,51.24,6.79,44.
"Germany","Baden‐Wurttemberg","Stuttgart",623738,48.79,9.19,244.
"Germany","North Rhine‐Westphalia","Essen",590194,51.47,7.,61.
"Germany","North Rhine‐Westphalia","Dortmund",585813,51.51,7.48,118.
"Germany","Bremen","Bremen",565719,53.08,8.81,12.
"Germany","Lower Saxony","Hanover",532864,52.4,9.73,58.
"Germany","Saxony","Dresden",523058,51.050000000000004,13.74,118.
"Germany","Bavaria","Nuremberg",511628,49.45,11.05,305.
"Germany","Saxony","Leipzig",506578,51.35,12.4,112.
"Germany","North Rhine‐Westphalia","Duisburg",499845,51.43,6.75,32.
"Germany","North Rhine‐Westphalia","Bochum",364920,51.480000000000004,7.2,79.
"Germany","North Rhine‐Westphalia","Wuppertal",352390,51.26,7.18,248.
"Germany","North Rhine‐Westphalia","Bielefeld",337219,52.03,8.53,121.
"Germany","North Rhine‐Westphalia","Bonn",322960,50.730000000000004,7.1000000000000005,64.
"Germany","Baden‐Wurttemberg","Mannheim",313174,49.5,8.47,98.
"Germany","Baden‐Wurttemberg","Karlsruhe",307263,49.,8.4,117.
"Germany","Hesse","Wiesbaden",275562,50.08,8.23,142.
"Germany","North Rhine‐Westphalia","Munster",272106,51.96,7.62,64.
"Germany","North Rhine‐Westphalia","Gelsenkirchen",266772,51.51,7.11,50.
"Germany","Bavaria","Augsburg",262512,48.36,10.89,496.
"Germany","North Rhine‐Westphalia","Mönchengladbach",260951,51.2,6.42,69.
"Germany","North Rhine‐Westphalia","Aachen",254782,50.77,6.09,175.
"Germany","Saxony","Chemnitz",245700,50.83,12.92,301.
"Germany","Lower Saxony","Brunswick",245467,52.27,10.51,73.
"Germany","Saxony‐Anhalt","Halle",235720,51.480000000000004,11.96,83.
"Germany","Schleswig‐Holstein","Kiel",235366,54.32,10.120000000000001,20.
"Germany","Saxony‐Anhalt","Magdeburg",229826,52.13,11.620000000000001,55.
"Germany","North Rhine‐Westphalia","Krefeld",226812,51.33,6.55,41.
"Germany","North Rhine‐Westphalia","Oberhausen",218181,51.47,6.86,44.
"Germany","Baden‐Wurttemberg","Freiburg",217547,47.99,7.8500000000000005,276.
"Germany","Schleswig‐Holstein","Lübeck",211213,53.870000000000005,10.66,14.
"Germany","Thuringia","Erfurt",211113,50.99,11.03,190.
"Germany","Mecklenburg‐Western Pomerania","Rostock",206011,54.09,12.1,22.
"Germany","Rhineland‐Palatinate","Mainz",196425,50.,8.26,117.
"Germany","North Rhine‐Westphalia","Hagen",195671,51.370000000000005,7.46,113.
"Germany","Hesse","Kassel",193518,51.32,9.48,181.
"Germany","North Rhine‐Westphalia","Hamm",183672,51.67,7.8,64.
"Germany","Saarland","Saarbrücken",178141,49.25,6.97,229.
"Germany","Brandenburg","Potsdam",171810,52.4,13.07,32.
"Germany","North Rhine‐Westphalia","Mulheim",169414,51.43,6.86,45.
"Germany","Rhineland‐Palatinate","Ludwigshafen",166621,49.480000000000004,8.44,93.
"Germany","Lower Saxony","Osnabrück",163020,52.28,8.05,69.
"Germany","North Rhine‐Westphalia","Leverkusen",161336,51.04,6.99,46.
"Germany","Hesse","Darmstadt",159982,49.870000000000005,8.64,136.
"Germany","Lower Saxony","Oldenburg",159060,53.15,8.21,6.
"Germany","North Rhine‐Westphalia","Solingen",158908,51.18,7.0600000000000005,209.
"Germany","North Rhine‐Westphalia","Herne",156774,51.54,7.21,63.
"Germany","North Rhine‐Westphalia","Neuss",152882,51.2,6.69,43.
"Germany","North Rhine‐Westphalia","Paderborn",148677,51.72,8.74,114.
"Germany","Baden‐Wurttemberg","Heidelberg",144634,49.42,8.69,118.
"Germany","Bavaria","Regensburg",135520,49.02,12.11,331.
"Germany","Bavaria","Würzburg",134913,49.800000000000004,9.94,184.
"Germany","Lower Saxony","Göttingen",134212,51.53,9.92,150.
"Germany","Lower Saxony","Wolfsburg",123909,52.43,10.78,60.
"Germany","Baden‐Wurttemberg","Ulm",122636,48.4,9.97,471.
"Germany","Baden‐Wurttemberg","Heilbronn",122567,49.14,9.22,173.
"Germany","Bavaria","Ingolstadt",122167,48.77,11.43,375.
"Germany","North Rhine‐Westphalia","Recklinghausen",121521,51.61,7.19,66.
"Germany","Baden‐Wurttemberg","Pforzheim",119156,48.89,8.69,288.
"Germany","Hesse","Offenbach",117564,50.1,8.77,108.
"Germany","North Rhine‐Westphalia","Bottrop",117409,51.53,6.93,49.
"Germany","North Rhine‐Westphalia","Remscheid",114925,51.18,7.19,336.
"Germany","Baden‐Wurttemberg","Reutlingen",114427,48.49,9.21,393.
"Germany","Bavaria","Furth",113627,49.480000000000004,10.98,290.
"Germany","North Rhine‐Westphalia","Bergisch Gladbach",113085,50.980000000000004,7.15,116.
"Germany","Bremen","Bremerhaven",113034,53.550000000000004,8.58,3.
"Germany","Thuringia","Jena",108207,50.93,11.58,169.
"Germany","North Rhine‐Westphalia","Moers",107816,51.45,6.65,29.
"Germany","Rhineland‐Palatinate","Koblenz",105888,50.35,7.6000000000000005,69.
"Germany","Bavaria","Erlangen",103753,49.6,11.01,283.
"Germany","Lower Saxony","Salzgitter",103668,52.17,10.33,86.
"Germany","Rhineland‐Palatinate","Trier",103274,49.75,6.63,133.
"Germany","Lower Saxony","Hildesheim",103249,52.160000000000004,9.950000000000001,88.
"Germany","North Rhine‐Westphalia","Siegen",102355,50.870000000000005,8.01,246.
"Germany","Brandenburg","Cottbus",100534,51.77,14.33,70.
"Germany","North Rhine‐Westphalia","Witten",100248,51.44,7.34,108.
"Germany","Rhineland‐Palatinate","Kaiserslautern",98044,49.45,7.75,250.
"Germany","Saxony","Zwickau",96786,50.72,12.5,265.
"Germany","North Rhine‐Westphalia","Iserlohn",96546,51.39,7.68,244.
"Germany","North Rhine‐Westphalia","Gütersloh",96284,51.910000000000004,8.370000000000001,75.
"Germany","Thuringia","Gera",96011,50.88,12.08,197.
"Germany","North Rhine‐Westphalia","Düren",92614,50.81,6.49,131.
"Germany","Mecklenburg‐Western Pomerania","Schwerin",91583,53.63,11.4,65.
"Germany","Baden‐Wurttemberg","Ludwigsburg",91116,48.9,9.19,290.
"Germany","Baden‐Wurttemberg","Eßlingen",90378,48.74,9.32,248.
"Germany","Hesse","Hanau",88472,50.14,8.91,106.
"Germany","North Rhine‐Westphalia","Ratingen",87943,51.300000000000004,6.8500000000000005,54.
"Germany","Schleswig‐Holstein","Flensburg",86630,54.79,9.42,50.
"Germany","North Rhine‐Westphalia","Lünen",85867,51.620000000000005,7.5200000000000005,56.
"Germany","North Rhine‐Westphalia","Velbert",84579,51.35,7.04,228.
"Germany","Hesse","Giessen",84455,50.58,8.68,163.
"Germany","North Rhine‐Westphalia","Marl",84055,51.68,7.12,42.
"Germany","Baden‐Wurttemberg","Tübingen",83740,48.53,9.06,350.
"Germany","Rhineland‐Palatinate","Worms",82212,49.64,8.35,103.
"Germany","Baden‐Wurttemberg","Villingen‐Schwenningen",81916,48.07,8.45,716.
"Germany","Baden‐Wurttemberg","Konstanz",81692,47.68,9.17,415.
"Germany","North Rhine‐Westphalia","Minden",81598,52.29,8.9,54.
"Germany","Schleswig‐Holstein","Neumunster",79680,54.07,9.98,21.
"Germany","North Rhine‐Westphalia","Lüdenscheid",78032,51.230000000000004,7.6000000000000005,388.
"Germany","Saxony‐Anhalt","Dessau",77394,51.83,12.22,60.
"Germany","Lower Saxony","Delmenhorst",77045,53.06,8.64,9.
"Germany","Schleswig‐Holstein","Norderstedt",76712,53.660000000000004,10.02,28.
"Germany","North Rhine‐Westphalia","Gladbeck",76373,51.58,6.98,59.
"Germany","Lower Saxony","Wilhelmshaven",76201,53.54,8.11,-2.
"Germany","North Rhine‐Westphalia","Viersen",75975,51.26,6.4,43.
"Germany","North Rhine‐Westphalia","Arnsberg",75867,51.410000000000004,8.06,215.
"Germany","North Rhine‐Westphalia","Dorsten",75431,51.67,6.97,31.
"Germany","North Rhine‐Westphalia","Rheine",74852,52.29,7.44,38.
"Germany","North Rhine‐Westphalia","Detmold",74817,51.95,8.88,149.
"Germany","North Rhine‐Westphalia","Troisdorf",74790,50.82,7.16,77.
"Germany","Lower Saxony","Lüneburg",74494,53.25,10.4,23.
"Germany","North Rhine‐Westphalia","Castrop‐Rauxel",74220,51.550000000000004,7.3100000000000005,79.
"Germany","Hesse","Marburg",73836,50.800000000000004,8.77,209.
"Germany","Bavaria","Bayreuth",73503,49.95,11.58,341.
"Germany","Brandenburg","Brandenburg",71664,52.42,12.530000000000001,30.
"Germany","North Rhine‐Westphalia","Bocholt",71443,51.84,6.61,27.
"Germany","North Rhine‐Westphalia","Dinslaken",70233,51.58,6.73,29.
"Germany","Bavaria","Bamberg",69574,49.9,10.9,242.
"Germany","Lower Saxony","Celle",69561,52.620000000000005,10.06,37.
"Germany","Bavaria","Aschaffenburg",68664,49.99,9.15,130.
"Germany","Saxony","Plauen",68430,50.5,12.14,356.
"Germany","North Rhine‐Westphalia","Unna",67680,51.54,7.68,103.
"Germany","Baden‐Wurttemberg","Aalen",67344,48.85,10.09,435.
"Germany","North Rhine‐Westphalia","Lippstadt",67233,51.67,8.34,76.
"Germany","Rhineland‐Palatinate","Neuwied",65750,50.43,7.46,65.
"Germany","Bavaria","Kempten",65624,47.730000000000004,10.3,702.
"Germany","Hesse","Fulda",65540,50.550000000000004,9.69,279.
"Germany","North Rhine‐Westphalia","Herford",65060,52.120000000000005,8.67,65.
"Germany","North Rhine‐Westphalia","Kerpen",64425,50.88,6.69,84.
"Germany","North Rhine‐Westphalia","Grevenbroich",64388,51.1,6.57,61.
"Germany","North Rhine‐Westphalia","Herten",64344,51.59,7.21,59.
"Germany","Thuringia","Weimar",64131,50.99,11.32,228.
"Germany","Mecklenburg‐Western Pomerania","Neubrandenburg",63794,53.57,13.27,22.
"Germany","North Rhine‐Westphalia","Bergheim",62897,50.96,6.640000000000001,65.
"Germany","North Rhine‐Westphalia","Dormagen",62498,51.08,6.84,46.
"Germany","Baden‐Wurttemberg","Sindelfingen",62215,48.71,9.01,439.
"Germany","Bavaria","Landshut",61923,48.54,12.14,394.
"Germany","Lower Saxony","Garbsen",60853,52.42,9.59,54.
"Germany","Bavaria","Rosenheim",60394,47.86,12.15,456.
"Germany","North Rhine‐Westphalia","Wesel",60088,51.67,6.62,24.
"Germany","Baden‐Wurttemberg","Schwäbisch Gmünd",59840,48.81,9.790000000000001,365.
"Germany","North Rhine‐Westphalia","Hürth",59496,50.89,6.890000000000001,60.
"Germany","Hesse","Russelsheim",59203,50.,8.41,91.
"Germany","Baden‐Wurttemberg","Friedrichshafen",59108,47.660000000000004,9.48,404.
"Germany","North Rhine‐Westphalia","Stolberg",58540,50.79,6.23,204.
"Germany","Mecklenburg‐Western Pomerania","Stralsund",58041,54.32,13.09,3.
"Germany","Brandenburg","Frankfurt",58018,52.34,14.530000000000001,66.
"Germany","Baden‐Wurttemberg","Offenburg",57687,48.480000000000004,7.95,158.
"Germany","Baden‐Wurttemberg","Göppingen",57627,48.71,9.66,330.
"Germany","North Rhine‐Westphalia","Menden",57599,51.44,7.79,151.
"Germany","Saxony","Görlitz",57111,51.160000000000004,14.98,209.
"Germany","North Rhine‐Westphalia","Langenfeld",56993,51.11,6.95,50.
"Germany","North Rhine‐Westphalia","Euskirchen",56769,50.660000000000004,6.79,169.
"Germany","Lower Saxony","Hameln",56747,52.11,9.35,68.
"Germany","Mecklenburg‐Western Pomerania","Greifswald",56685,54.09,13.39,3.
"Germany","North Rhine‐Westphalia","Hilden",56326,51.18,6.93,50.
"Germany","North Rhine‐Westphalia","Sankt Augustin",56216,50.78,7.18,58.
"Germany","North Rhine‐Westphalia","Eschweiler",55646,50.83,6.2700000000000005,161.
"Germany","North Rhine‐Westphalia","Hattingen",55510,51.410000000000004,7.18,76.
"Germany","North Rhine‐Westphalia","Ahlen",55280,51.77,7.88,74.
"Germany","Baden‐Wurttemberg","Baden‐Baden",54307,48.76,8.23,217.
"Germany","North Rhine‐Westphalia","Meerbusch",54180,51.24,6.73,37.
"Germany","Bavaria","Schweinfurt",53970,50.06,10.22,241.
"Germany","North Rhine‐Westphalia","Bad Salzuflen",53746,52.09,8.75,87.
"Germany","Rhineland‐Palatinate","Neustadt",53658,49.36,8.13,191.
"Germany","North Rhine‐Westphalia","Pulheim",53645,51.,6.8,57.
"Germany","Baden‐Wurttemberg","Waiblingen",53407,48.83,9.31,251.
"Germany","Lower Saxony","Nordhorn",53286,52.44,7.0600000000000005,24.
"Germany","Hesse","Bad Homburg",52752,50.230000000000004,8.620000000000001,176.
"Germany","North Rhine‐Westphalia","Gummersbach",52636,51.04,7.57,339.
"Germany","Lower Saxony","Wolfenbüttel",52446,52.17,10.55,85.
"Germany","North Rhine‐Westphalia","Willich",51995,51.27,6.55,39.
"Germany","Bavaria","Neu‐Ulm",51700,48.4,10.01,472.
"Germany","Hesse","Wetzlar",51649,50.56,8.5,154.
"Germany","Lower Saxony","Lingen",51417,52.54,7.3100000000000005,29.
"Germany","Lower Saxony","Langenhagen",51388,52.45,9.74,54.
"Germany","North Rhine‐Westphalia","Ibbenbüren",51190,52.29,7.71,118.
"Germany","North Rhine‐Westphalia","Erftstadt",51082,50.81,6.76,99.
"Germany","Rhineland‐Palatinate","Speyer",50648,49.33,8.43,101.
"Germany","Bavaria","Passau",50566,48.58,13.44,343.
