"Country","State","City","Population","Latitude","Longitude","Elevation"
"Hungary","Budapest","Budapest",1759407,47.51,19.08,1.1e2
"Hungary","HajduBihar","Debrecen",203059,47.54,21.63,1.2e2
"Hungary","Csongrad","Szeged",162621,46.26,20.16,79.
"Hungary","BorsodAbaujZemplen","Miskolc",158101,48.1,20.79,1.3e2
"Hungary","Baranya","Pecs",145347,46.08,18.22,1.8e2
"Hungary","GyorMosonSopron","Gyor",129568,47.69,17.64,1.2e2
"Hungary","SzabolcsSzatmarBereg","Nyiregyhaza",118058,47.96,21.72,1.1e2
"Hungary","BacsKiskun","Kecskemet",111724,46.910000000000004,19.69,1.2e2
"Hungary","Fejer","Szekesfehervar",98673,47.2,18.41,1.1e2
"Hungary","Vas","Szombathely",79590,47.230000000000004,16.63,2.1e2
"Hungary","JaszNagykunSzolnok","Szolnok",72333,47.18,20.18,86.
"Hungary","Somogy","Kaposvar",67979,46.36,17.79,1.3e2
"Hungary","KomaromEsztergom","Tatabanya",65849,47.550000000000004,18.44,2.1e2
"Hungary","Pest","Erd",65043,47.38,18.91,1.3e2
"Hungary","Bekes","Bekescsaba",62050,46.68,21.080000000000002,86.
"Hungary","Zala","Zalaegerszeg",61970,46.85,16.830000000000002,1.6e2
"Hungary","GyorMosonSopron","Sopron",61390,47.68,16.580000000000002,2.3e2
"Hungary","Veszprem","Veszprem",60788,47.1,17.91,2.6e2
"Hungary","Heves","Eger",54867,47.9,20.38,1.6e2
"Hungary","Zala","Nagykanizsa",50540,46.46,16.990000000000002,1.5e2
"Hungary","Fejer","Dunaujvaros",44640,46.980000000000004,18.93,1.2e2
"Hungary","Csongrad","Hodmezovasarhely",44009,46.42,20.32,78.
"Hungary","Pest","Dunakeszi",43005,47.63,19.12,1.e2
"Hungary","Pest","Cegled",38318,47.18,19.78,1.e2
"Hungary","BacsKiskun","Baja",37707,46.18,18.95,89.
"Hungary","Nograd","Salgotarjan",37166,48.11,19.82,3.1e2
"Hungary","BorsodAbaujZemplen","Ozd",35621,48.230000000000004,20.3,2.e2
"Hungary","Pest","Godollo",33575,47.6,19.35,2.1e2
"Hungary","Pest","Vac",33475,47.79,19.13,1.2e2
"Hungary","GyorMosonSopron","Mosonmagyarovar",32752,47.86,17.27,1.2e2
"Hungary","Heves","Gyongyos",32546,47.78,19.92,1.6e2
"Hungary","Tolna","Szekszard",32528,46.35,18.71,90.
"Hungary","Veszprem","Papa",32473,47.33,17.47,1.4e2
"Hungary","Pest","Szigetszentmiklos",32340,47.35,19.05,98.
"Hungary","HajduBihar","Hajduboszormeny",31793,47.68,21.51,1.2e2
"Hungary","Bekes","Gyula",31067,46.65,21.29,86.
"Hungary","BacsKiskun","Kiskunfelegyhaza",30172,46.71,19.84,98.
"Hungary","Csongrad","Szentes",29117,46.660000000000004,20.26,81.
"Hungary","BacsKiskun","Kiskunhalas",28997,46.43,19.48,1.3e2
"Hungary","Bekes","Oroshaza",28888,46.57,20.67,87.
"Hungary","Pest","Budaors",28394,47.46,18.96,1.2e2
"Hungary","KomaromEsztergom","Esztergom",28102,47.79,18.740000000000002,1.1e2
"Hungary","Veszprem","Ajka",28071,47.1,17.56,2.4e2
"Hungary","Csongrad","Mako",27727,46.22,20.47,80.
"Hungary","BorsodAbaujZemplen","Kazincbarcika",26706,48.26,20.650000000000002,1.3e2
"Hungary","JaszNagykunSzolnok","Jaszbereny",26622,47.5,19.91,94.
"Hungary","Pest","Szentendre",25963,47.7,19.05,2.e2
"Hungary","Somogy","Siofok",25300,46.9,18.06,1.e2
"Hungary","Pest","Nagykoros",25105,47.03,19.78,1.1e2
"Hungary","KomaromEsztergom","Tata",23613,47.64,18.31,1.4e2
"Hungary","Pest","Gyal",23360,47.38,19.21,1.1e2
"Hungary","HajduBihar","Hajduszoboszlo",23309,47.45,21.400000000000002,94.
"Hungary","Baranya","Komlo",22997,46.19,18.26,2.5e2
"Hungary","JaszNagykunSzolnok","Torokszentmiklos",21758,47.18,20.41,83.
"Hungary","Heves","Hatvan",20949,47.67,19.68,1.2e2
"Hungary","Zala","Keszthely",20895,46.77,17.240000000000002,1.3e2
"Hungary","JaszNagykunSzolnok","Karcag",20872,47.32,20.92,86.
"Hungary","Pest","Vecses",20775,47.4,19.28,1.1e2
"Hungary","Pest","Dunaharaszti",20767,47.35,19.09,1.e2
"Hungary","Tolna","Dombovar",20084,46.38,18.13,1.3e2
"Hungary","Tolna","Paks",19833,46.62,18.86,90.
"Hungary","Bekes","Bekes",19763,46.77,21.13,85.
"Hungary","KomaromEsztergom","Komarom",19646,47.74,18.12,1.1e2
"Hungary","Veszprem","Varpalota",19544,47.2,18.14,1.5e2
"Hungary","Pest","Fot",19121,47.62,19.2,1.7e2
"Hungary","Pest","Szazhalombatta",18617,47.34,18.94,1.5e2
"Hungary","Pest","Monor",18526,47.35,19.45,1.3e2
"Hungary","Pest","God",18194,47.7,19.13,1.e2
"Hungary","JaszNagykunSzolnok","Mezotur",18176,47.,20.61,80.
"Hungary","HajduBihar","Balmazujvaros",18149,47.61,21.35,88.
"Hungary","SzabolcsSzatmarBereg","Mateszalka",18084,47.96,22.330000000000002,1.2e2
"Hungary","KomaromEsztergom","Oroszlany",17929,47.480000000000004,18.31,1.9e2
"Hungary","Baranya","Mohacs",17808,46.,18.68,88.
"Hungary","Csongrad","Csongrad",17686,46.72,20.14,80.
"Hungary","Nograd","Balassagyarmat",17541,48.07,19.31,1.6e2
"Hungary","HajduBihar","Hajdunanas",17172,47.85,21.43,98.
"Hungary","Pest","Veresegyhaz",17025,47.65,19.28,1.7e2
"Hungary","Pest","Szigethalom",16964,47.35,19.03,98.
"Hungary","Bekes","Szarvas",16954,46.87,20.56,81.
"Hungary","Pest","Gyomro",16937,47.42,19.400000000000002,1.6e2
"Hungary","BorsodAbaujZemplen","Mezokovesd",16905,47.81,20.580000000000002,1.1e2
"Hungary","Pest","Dabas",16905,47.18,19.32,1.e2
"Hungary","Pest","Pomaz",16624,47.660000000000004,19.02,1.4e2
"Hungary","SzabolcsSzatmarBereg","Kisvarda",16473,48.22,22.080000000000002,1.e2
"Hungary","Pest","Abony",16342,47.19,20.01,89.
"Hungary","BorsodAbaujZemplen","Satoraljaujhely",16299,48.4,21.66,1.e2
"Hungary","BacsKiskun","Kalocsa",16136,46.52,18.990000000000002,89.
"Hungary","HajduBihar","Puspokladany",16126,47.32,21.13,85.
"Hungary","Veszprem","Tapolca",16035,46.89,17.44,1.4e2
"Hungary","BorsodAbaujZemplen","Tiszaujvaros",15571,47.94,21.07,90.
"Hungary","Pest","Pecel",15358,47.49,19.35,1.8e2
"Hungary","Vas","Sarvar",15343,47.26,16.93,1.5e2
"Hungary","HajduBihar","Berettyoujfalu",14698,47.230000000000004,21.54,93.
"Hungary","Fejer","Mor",14690,47.37,18.22,2.e2
