"Country","State","City","Population","Latitude","Longitude","Elevation"
"Russia","Moscow","Moscow",13010112,55.75,37.62,1.3e2
"Russia","SaintPetersburg","SaintPetersburg",4879566,59.93,30.32,13.
"Russia","Novosibirsk","Novosibirsk",1602915,55.04,82.93,1.6e2
"Russia","Sverdlovsk","Yekaterinburg",1343839,56.85,60.6,2.5e2
"Russia","NizhnyNovgorod","NizhnyNovgorod",1266871,56.33,44.,95.
"Russia","Tatarstan","Kazan",1243500,55.75,49.13,56.
"Russia","Omsk","Omsk",1178391,55.,73.4,80.
"Russia","Samara","Samara",1170910,53.2,50.15,1.e2
"Russia","Rostov","RostovNaDonu",1119875,47.24,39.71,71.
"Russia","Bashkortostan","Ufa",1110976,54.78,56.04,1.8e2
"Russia","Chelyabinsk","Chelyabinsk",1095909,55.15,61.43,2.2e2
"Russia","Voronezh","Voronezh",1032382,51.72,39.26,95.
"Russia","Volgograd","Volgograd",1016137,48.71,44.480000000000004,46.
"Russia","Perm","Perm",986497,58.,56.25,1.6e2
"Russia","Krasnoyarsk","Krasnoyarsk",962466,56.02,93.06,1.5e2
"Russia","Saratov","Saratov",843460,51.57,46.03,1.3e2
"Russia","Samara","Tolyatti",721752,53.480000000000004,49.51,51.
"Russia","Krasnodar","Krasnodar",713426,45.03,38.980000000000004,27.
"Russia","Udmurtia","Izhevsk",646277,56.85,53.230000000000004,1.5e2
"Russia","AltaiKrai","Barnaul",635585,53.36,83.75,1.7e2
"Russia","Ulyanovsk","Ulyanovsk",624518,54.33,48.4,1.8e2
"Russia","Yaroslavl","Yaroslavl",608079,57.620000000000005,39.87,95.
"Russia","Dagestan","Makhachkala",592976,42.980000000000004,47.5,7.
"Russia","Primorski","Vladivostok",583673,43.13,131.9,55.
"Russia","Irkutsk","Irkutsk",578073,52.33,104.24000000000001,4.3e2
"Russia","KhabarovskKrai","Khabarovsk",578060,48.42,135.12,56.
"Russia","Kemerovo","Novokuznetsk",562402,53.75,87.10000000000001,2.4e2
"Russia","Kemerovo","Kemerovo",553076,55.33,86.08,1.3e2
"Russia","Tyumen","Tyumen",542463,57.15,65.53,80.
"Russia","Ryazan","Ryazan",537622,54.620000000000005,39.74,1.2e2
"Russia","Orenburg","Orenburg",533872,51.78,55.1,1.e2
"Russia","Yaroslavl","Orenberg",525637,51.783333,55.1,1.4e2
"Russia","Penza","Penza",509997,53.2,45.,1.8e2
"Russia","Tula","Tula",509010,54.2,37.61,1.6e2
"Russia","Tatarstan","NaberezhnyeChelny",507180,55.69,52.32,66.
"Russia","Lipetsk","Lipetsk",502821,52.620000000000005,39.62,1.2e2
"Russia","Astrakhan","Astrakhan",498953,46.35,48.050000000000004,-18.
"Russia","Tomsk","Tomsk",489879,56.5,84.97,1.1e2
"Russia","Kirov","Kirov",468459,58.6,49.660000000000004,1.7e2
"Russia","Kaliningrad","Kaliningrad",459560,54.71,20.5,-6.
"Russia","Kursk","Kursk",449063,51.730000000000004,36.19,1.8e2
"Russia","Chuvashia","Cheboksary",442387,56.13,47.25,1.2e2
"Russia","Bryansk","Bryansk",419967,53.26,34.42,1.5e2
"Russia","Chelyabinsk","Magnitogorsk",413208,53.42,58.97,3.9e2
"Russia","Ivanovo","Ivanovo",413068,57.01,40.99,1.2e2
"Russia","Tver","Tver",405618,56.86,35.89,1.3e2
"Russia","Sverdlovsk","NizhniyTagil",379724,57.92,59.97,2.e2
"Russia","Stavropol","Stavropol",358399,45.04,41.97,5.7e2
"Russia","Vladimir","Vladimir",354827,56.14,40.4,1.5e2
"Russia","Arkhangelsk","Arkhangelsk",349772,64.57000000000001,40.53,0
"Russia","Buryatia","UlanUde",347819,51.83,107.62,5.3e2
"Russia","Belgorod","Belgorod",344242,50.61,36.59,1.6e2
"Russia","Kurgan","Kurgan",329981,55.45,65.33,74.
"Russia","Krasnodar","Sochi",329481,43.6,39.730000000000004,14.
"Russia","Kaluga","Kaluga",329064,54.54,36.27,2.e2
"Russia","Orel","Oryol",325945,52.97,36.08,1.5e2
"Russia","Vologda","Cherepovets",318856,59.13,37.9,1.4e2
"Russia","Smolensk","Smolensk",317915,54.78,32.04,2.4e2
"Russia","NorthOssetia","Vladikavkaz",314073,43.04,44.68,6.8e2
"Russia","Volgograd","Volzhskiy",308490,48.79,44.77,23.
"Russia","Zabaykalsky","Chita",306239,52.050000000000004,113.46000000000001,6.5e2
"Russia","Murmansk","Murmansk",298096,68.96000000000001,33.08,36.
"Russia","Mordovia","Saransk",297077,54.18,45.18,1.5e2
"Russia","KhantyMansi","Surgut",290598,61.25,73.42,37.
"Russia","Tambov","Tambov",290365,52.730000000000004,41.43,1.3e2
"Russia","Vologda","Vologda",287001,59.22,39.9,1.2e2
"Russia","Bashkortostan","Sterlitamak",280233,53.63,55.95,1.5e2
"Russia","Kostroma","Kostroma",277648,57.77,40.93,1.1e2
"Russia","KabardinoBalkaria","Nalchik",271447,43.5,43.62,4.7e2
"Russia","MariEl","YoshkarOla",266675,56.64,47.870000000000005,1.e2
"Russia","Karelia","Petrozavodsk",265072,61.82,34.33,23.
"Russia","Irkutsk","Bratsk",254878,56.300000000000004,101.71000000000001,4.3e2
"Russia","Rostov","Taganrog",250287,47.22,38.910000000000004,25.
"Russia","KhabarovskKrai","KomsomolskNaAmure",248254,50.56,137.,32.
"Russia","Rostov","Shakhty",247736,47.71,40.21,1.e2
"Russia","Orenburg","Orsk",247002,51.21,58.63,2.1e2
"Russia","KhantyMansi","Nizhnevartovsk",240834,60.93,76.57000000000001,45.
"Russia","Yakutia","Yakutsk",239225,62.03,129.73,1.3e2
"Russia","Tatarstan","Nizhnekamsk",237250,55.64,51.82,1.2e2
"Russia","NizhnyNovgorod","Dzerzhinsk",231797,56.24,43.46,90.
"Russia","Krasnodar","Novorossiysk",230702,44.72,37.77,15.
"Russia","Komi","Syktyvkar",229305,61.67,50.81,1.5e2
"Russia","Moscow","Zelenograd",228294,55.94,37.29,1.7e2
"Russia","Irkutsk","Angarsk",226374,52.57,103.91,4.3e2
"Russia","Novgorod","VelikiyNovgorod",222594,58.52,31.28,24.
"Russia","Chechnya","Groznyy",218193,43.31,45.7,1.3e2
"Russia","Belgorod","StaryyOskol",218189,51.300000000000004,37.84,1.6e2
"Russia","Krasnoyarsk","Norilsk",213153,69.34,88.22,1.1e2
"Russia","Amur","Blagoveshchensk",212183,50.27,127.53,1.3e2
"Russia","AltaiKrai","Biysk",203108,52.53,85.17,1.8e2
"Russia","Saratov","Balakovo",199187,52.03,47.78,28.
"Russia","Pskov","Pskov",197047,57.83,28.330000000000002,45.
"Russia","Kemerovo","Prokopyevsk",196406,53.9,86.71000000000001,3.1e2
"Russia","Saratov","Engels",194824,51.5,46.12,16.
"Russia","Krasnodar","Armavir",190703,44.99,41.12,2.e2
"Russia","MoskovskayaOblast","Lyubertsy",190480,55.67,37.89,1.3e2
"Russia","Yaroslavl","Rybinsk",190429,58.050000000000004,38.83,1.e2
"Russia","Chelyabinsk","Zlatoust",190340,55.17,59.65,5.2e2
"Russia","Arkhangelsk","Severodvinsk",183996,64.57000000000001,39.83,8.
"Russia","MoskovskayaOblast","Balashikha",182772,55.800000000000004,37.95,1.5e2
"Russia","Sverdlovsk","KamenskUralskiy",182466,56.410000000000004,61.93,1.5e2
"Russia","Khakasia","Abakan",181709,53.72,91.43,2.5e2
"Russia","Kamchatka","PetropavlovskKamchatskiy",180454,53.02,158.65,30.
"Russia","MoskovskayaOblast","Khimki",180075,55.89,37.44,1.8e2
"Russia","MoskovskayaOblast","Podolsk",179525,55.42,37.54,1.6e2
"Russia","Rostov","Novocherkassk",179461,47.42,40.09,88.
"Russia","Sakhalin","YuzhnoSakhalinsk",173364,46.95,142.74,39.
"Russia","Samara","Syzran",173260,53.17,48.47,59.
"Russia","MoskovskayaOblast","Korolyov",172781,55.92,37.82,1.6e2
"Russia","Primorski","Nakhodka",171666,42.83,132.89000000000001,17.
"Russia","Rostov","Volgodonsk",170832,47.51,42.15,51.
"Russia","MoskovskayaOblast","Mytishchi",161811,55.910000000000004,37.730000000000004,1.5e2
"Russia","AltaiRepublic","Rubtsovsk",158584,51.53,81.2,2.2e2
"Russia","Adygeya","Maykop",156768,44.61,40.11,2.3e2
"Russia","Primorski","Ussuriysk",154755,43.800000000000004,132.01,21.
"Russia","Chelyabinsk","Miass",154519,55.,60.09,3.3e2
"Russia","Tatarstan","Almetyevsk",154262,54.9,52.31,1.4e2
"Russia","Bashkortostan","Salavat",153181,53.370000000000005,55.92,1.5e2
"Russia","MoskovskayaOblast","Kolomna",148020,55.08,38.78,1.4e2
"Russia","MoskovskayaOblast","Elektrostal",146189,55.79,38.44,1.6e2
"Russia","Stavropol","Pyatigorsk",145971,44.050000000000004,43.06,5.4e2
"Russia","Perm","Berezniki",145115,59.410000000000004,56.77,1.1e2
"Russia","SaintPetersburg","Kolpino",144901,59.75,30.6,17.
"Russia","Vladimir","Kovrov",138552,56.36,41.32,1.3e2
"Russia","Chelyabinsk","Kopeysk",137813,55.11,61.65,2.e2
"Russia","Ingushetia","Nazran",136991,43.21,44.800000000000004,5.3e2
