"Country","State","City","Population","Latitude","Longitude","Elevation"
"Spain","Madrid","Madrid",3165541,40.42,-3.71,6.5e2
"Spain","Barcelona","Barcelona",1608746,41.4,2.17,42.
"Spain","Valencia","Valencia",790201,39.48,-0.39,19.
"Spain","Seville","Seville",690566,37.4,-5.98,12.
"Spain","Zaragoza","Zaragoza",666058,41.65,-0.89,2.2e2
"Spain","Malaga","Málaga",560631,36.72,-4.42,17.
"Spain","Murcia","Murcia",441003,37.980000000000004,-1.1300000000000001,51.
"Spain","Balears","Palma",402949,39.57,2.65,18.
"Spain","LasPalmas","Las Palmas",378998,28.1,-15.43,1.1e2
"Spain","Vizcaya","Bilbao",345122,43.25,-2.93,33.
"Spain","Alacant","Alicante",330525,38.35,-0.48,31.
"Spain","Cordoba","Cordoba",326609,37.88,-4.7700000000000005,98.
"Spain","Valladolid","Valladolid",301876,41.65,-4.74,6.9e2
"Spain","Pontevedra","Vigo",292817,42.22,-8.71,44.
"Spain","Asturias","Gijón",276001,43.53,-5.67,19.
"Spain","Barcelona","LHospitalet de Llobregat",257349,41.35,2.1,10.
"Spain","Alava","Vitoria",244634,42.85,-2.67,5.3e2
"Spain","ACoruna","A Coruña",243978,43.33,-8.42,75.
"Spain","Granada","Granada",234758,37.17,-3.59,7.4e2
"Spain","Alacant","Elx",228675,38.27,-0.68,87.
"Spain","Asturias","Oviedo",220567,43.35,-5.83,3.2e2
"Spain","Madrid","Fuenlabrada",220384,40.27,-3.8000000000000003,6.7e2
"Spain","Barcelona","Badalona",215848,41.45,2.24,18.
"Spain","Barcelona","Terrassa",215121,41.57,2.,3.2e2
"Spain","Murcia","Cartagena",214759,37.61,-0.98,16.
"Spain","Cadiz","Jerez",212915,36.68,-6.13,54.
"Spain","Barcelona","Sabadell",209931,41.550000000000004,2.1,1.9e2
"Spain","SantaCruzDeTenerife","Santa Cruz de Tenerife",206593,28.47,-16.25,12.
"Spain","Madrid","Móstoles",206589,40.32,-3.88,6.4e2
"Spain","Navarre","Pamplona",197138,42.82,-1.6500000000000001,4.3e2
"Spain","Madrid","Alcalá de Henares",194310,40.480000000000004,-3.37,5.9e2
"Spain","Almeria","Almería",194203,36.83,-2.43,13.
"Spain","Madrid","Leganés",187720,40.33,-3.77,6.8e2
"Spain","Guipuzcoa","San Sebastian",186370,43.32,-1.98,11.
"Spain","Madrid","Getafe",176659,40.300000000000004,-3.73,6.2e2
"Spain","Burgos","Burgos",176608,42.35,-3.69,8.6e2
"Spain","Albacete","Albacete",172426,39.,-1.87,6.8e2
"Spain","Cantabria","Santander",171951,43.47,-3.8000000000000003,43.
"Spain","Castello","Castello",169498,39.97,-0.05,27.
"Spain","Madrid","Alcorcón",167354,40.35,-3.8200000000000003,7.1e2
"Spain","SantaCruzDeTenerife","San Cristóbal de La Laguna",153655,28.48,-16.32,5.7e2
"Spain","La Rioja","Logroño",150979,42.47,-2.44,3.7e2
"Spain","Badajoz","Badajoz",149946,38.88,-6.97,1.9e2
"Spain","Huelva","Huelva",145468,37.25,-6.94,3.
"Spain","Salamanca","Salamanca",144949,40.97,-5.67,8.2e2
"Spain","Malaga","Marbella",141172,36.52,-4.89,80.
"Spain","Lleida","Lleida",138144,41.62,0.63,1.7e2
"Spain","Madrid","Torrejón de Ardoz",136331,40.46,-3.48,5.9e2
"Spain","Seville","Dos Hermanas",132551,37.28,-5.93,47.
"Spain","Tarragona","Tarragona",131094,41.12,1.24,16.
"Spain","Cadiz","Cádiz",130561,36.53,-6.29,9.
"Spain","Leon","Leon",126192,42.59,-5.57,8.2e2
"Spain","Madrid","Parla",125898,40.25,-3.77,6.5e2
"Spain","Barcelona","Mataró",125517,41.54,2.44,31.
"Spain","Cadiz","Algeciras",121133,36.13,-5.45,12.
"Spain","Barcelona","Santa Coloma de Gramenet",117597,41.47,2.22,1.6e2
"Spain","Madrid","Alcobendas",114864,40.54,-3.64,6.6e2
"Spain","Jaen","Jaen",114658,37.77,-3.8000000000000003,6.1e2
"Spain","Ourense","Ourense",105893,42.33,-7.87,1.3e2
"Spain","Tarragona","Reus",103123,41.160000000000004,1.11,1.2e2
"Spain","LasPalmas","Telde",102005,28.,-15.42,1.6e2
"Spain","Vizcaya","Barakaldo",100313,43.28,-2.98,30.
"Spain","Lugo","Lugo",98268,43.02,-7.5600000000000005,4.6e2
"Spain","Girona","Girona",97586,41.980000000000004,2.81,78.
"Spain","ACoruna","Santiago de Compostela",96456,42.88,-8.540000000000001,2.6e2
"Spain","Caceres","Caceres",95814,39.47,-6.38,4.6e2
"Spain","Cadiz","San Fernando",95643,36.47,-6.2,20.
"Spain","Madrid","Las Rozas de Madrid",95071,40.5,-3.87,7.2e2
"Spain","Almeria","Roquetas de Mar",93363,36.77,-2.61,4.
"Spain","Murcia","Lorca",92299,37.68,-1.7,3.4e2
"Spain","Barcelona","Sant Cugat del Vallès",89516,41.47,2.08,1.3e2
"Spain","Cadiz","El Puerto de Santa María",88430,36.61,-6.23,26.
"Spain","Almeria","El Ejido",88096,36.79,-2.83,1.4e2
"Spain","Madrid","San Sebastián de los Reyes",86707,40.550000000000004,-3.62,6.6e2
"Spain","Barcelona","Cornella",86072,41.37,2.06,48.
"Spain","Melilla","Melilla",86026,35.300000000000004,-2.95,29.
"Spain","Madrid","Pozuelo de Alarcón",85605,40.44,-3.81,6.9e2
"Spain","Ceuta","Ceuta",84519,35.910000000000004,-5.3,0
"Spain","Madrid","Rivas‐Vaciamadrid",83767,40.33,-3.52,5.5e2
"Spain","Guadalajara","Guadalajara",83633,40.64,-3.17,6.8e2
"Spain","Toledo","Toledo",83459,39.86,-4.03,4.9e2
"Spain","Toledo","Talavera de la Reina",83303,39.96,-4.83,3.7e2
"Spain","Alacant","Torrevieja",83252,37.980000000000004,-0.6900000000000001,12.
"Spain","Madrid","Coslada",83011,40.43,-3.5700000000000003,6.3e2
"Spain","Cadiz","Chiclana",82645,36.42,-6.15,13.
"Spain","Pontevedra","Pontevedra",82549,42.42,-8.66,9.
"Spain","Barcelona","Sant Boi de Llobregat",82142,41.36,2.0300000000000002,37.
"Spain","SantaCruzDeTenerife","Arona",80987,28.09,-16.67,4.4e2
"Spain","Asturias","Avilés",80880,43.56,-5.91,5.
"Spain","Valencia","Torrent",80762,39.44,-0.46,49.
"Spain","Malaga","Vélez‐Málaga",79878,36.79,-4.1,1.3e2
"Spain","Palencia","Palencia",79137,42.03,-4.54,7.5e2
"Spain","Vizcaya","Getxo",78406,43.36,-3.,18.
"Spain","Malaga","Mijas",77151,36.6,-4.64,4.2e2
"Spain","Alacant","Orihuela",76097,38.09,-0.9500000000000001,66.
"Spain","Barcelona","Rubi",75568,41.5,2.0300000000000002,1.4e2
"Spain","Seville","Alcala de Guadaira",75106,37.34,-5.84,68.
"Spain","Malaga","Fuengirola",74929,36.550000000000004,-4.64,23.
"Spain","Valencia","Gandia",74814,38.980000000000004,-0.18,15.
"Spain","Barcelona","Manresa",74752,41.74,1.81,2.3e2
"Spain","CiudadReal","Ciudad Real",74054,38.980000000000004,-3.94,6.3e2
"Spain","Madrid","Valdemoro",73976,40.19,-3.68,6.1e2
"Spain","Murcia","Molina de Segura",73071,38.06,-1.22,74.
"Spain","Madrid","Majadahonda",71299,40.47,-3.87,7.4e2
"Spain","LasPalmas","Santa Lucia",69178,27.92,-15.540000000000001,8.7e2
"Spain","Alacant","Benidorm",69010,38.550000000000004,-0.14,51.
"Spain","Malaga","Benalmádena",68859,36.6,-4.57,2.3e2
"Spain","Valencia","Paterna",68547,39.5,-0.42,35.
"Spain","Malaga","Torremolinos",67701,36.63,-4.51,91.
"Spain","Cadiz","Sanlúcar de Barrameda",67640,36.78,-6.36,6.
"Spain","ACoruna","Ferrol",67569,43.49,-8.24,37.
"Spain","Malaga","Estepona",66863,36.44,-5.16,71.
"Spain","Barcelona","Vilanova i la Geltrú",66077,41.230000000000004,1.72,30.
"Spain","Barcelona","Viladecans",65993,41.32,2.02,27.
"Spain","Barcelona","Castelldefels",65954,41.29,1.96,1.2e2
"Spain","Leon","Ponferrada",65788,42.550000000000004,-6.59,5.4e2
"Spain","Valencia","Sagunt",64439,39.68,-0.29,71.
"Spain","Barcelona","El Prat de Llobregat",63897,41.34,2.08,7.
"Spain","Cadiz","La Linea",63278,36.17,-5.36,7.
"Spain","Zamora","Zamora",63217,41.52,-5.75,6.5e2
"Spain","Madrid","Collado Villalba",62152,40.64,-4.,9.3e2
"Spain","Guipuzcoa","Irun",61855,43.35,-1.8,8.
"Spain","Granada","Motril",60420,36.76,-3.52,92.
"Spain","Barcelona","Granollers",60174,41.61,2.2800000000000002,1.4e2
"Spain","Badajoz","Merida",60119,38.92,-6.34,2.2e2
"Spain","LasPalmas","Arrecife",59771,28.96,-13.55,11.
"Spain","Alacant","Alcoi",59106,38.7,-0.48,5.6e2
"Spain","Jaen","Linares",58449,38.1,-3.63,4.3e2
"Spain","Avila","Avila",58083,40.67,-4.7,1.1e3
"Spain","Madrid","Aranjuez",57932,40.03,-3.61,5.e2
"Spain","Barcelona","Cerdanyola",57723,41.49,2.13,91.
"Spain","Alacant","Sant Vicent del Raspeig",57175,38.4,-0.52,1.1e2
"Spain","LasPalmas","San Bartolomé de Tirajana",56698,27.92,-15.57,8.6e2
"Spain","Cuenca","Cuenca",55102,40.08,-2.14,9.7e2
"Spain","Madrid","Arganda del Rey",53821,40.300000000000004,-3.44,6.6e2
"Spain","Seville","Utrera",52701,37.18,-5.78,48.
"Spain","Alacant","Elda",52620,38.480000000000004,-0.81,4.7e2
"Spain","Huesca","Huesca",52282,42.14,-0.41000000000000003,4.7e2
"Spain","Segovia","Segovia",52257,40.94,-4.11,1.e3
"Spain","Cantabria","Torrelavega",52034,43.35,-4.0600000000000005,20.
"Spain","Asturias","Siero",51776,43.4,-5.66,2.3e2
"Spain","Madrid","Boadilla del Monte",51463,40.4,-3.89,6.5e2
"Spain","Barcelona","Mollet del Vallès",51128,41.550000000000004,2.21,85.
"Spain","Madrid","Pinto",50442,40.24,-3.7,6.2e2
"Spain","Castello","Vila‐real",50334,39.94,-0.1,44.
"Spain","Balears","Calvià",49580,39.57,2.5100000000000002,1.9e2
