"Country","State","City","Population","Latitude","Longitude","Elevation"
"Ukraine","Kyiv","Kyiv",2900920,50.43,30.52,1.5e2
"Ukraine","Harkov","Kharkiv",1430885,49.98,36.22,1.1e2
"Ukraine","Odesa","Odesa",1016515,46.47,30.73,40.
"Ukraine","Dnipropetrovsk","Dnipro",1002636,48.45,34.980000000000004,1.4e2
"Ukraine","Donetsk","Donetsk",929063,48.,37.82,1.4e2
"Ukraine","Zaporizhzhya","Zaporizhzhya",748984,47.85,35.17,65.
"Ukraine","Lviv","Lviv",727968,49.83,24.,3.2e2
"Ukraine","Dnipropetrovsk","Kryvyy Rih",654900,47.92,33.35,41.
"Ukraine","Mykolayivsk","Mykolayiv",494763,46.97,32.,18.
"Ukraine","Donetsk","Mariupol",449498,47.1,37.550000000000004,65.
"Ukraine","Lugansk","Luhansk",425848,48.57,39.33,75.
"Ukraine","Sevastopol","Sevastopol",418987,44.6,33.53,17.
"Ukraine","Vinnica","Vinnytsya",372484,49.230000000000004,28.48,2.4e2
"Ukraine","Donetsk","Makiyivka",347376,48.03,37.97,1.6e2
"Ukraine","Herson","Kherson",333737,46.63,32.6,9.
"Ukraine","Crimea","Simferopol",332317,44.95,34.1,2.6e2
"Ukraine","Poltava","Poltava",294962,49.58,34.57,1.2e2
"Ukraine","Chernigov","Chernihiv",294727,51.5,31.3,1.2e2
"Ukraine","Cherkask","Cherkasy",286037,49.43,32.07,1.1e2
"Ukraine","Sumska","Sumy",270870,50.92,34.78,1.3e2
"Ukraine","Zhitomir","Zhytomyr",268000,50.25,28.67,2.2e2
"Ukraine","Chernivtsi","Chernivtsi",263287,48.300000000000004,25.93,2.3e2
"Ukraine","Rivne","Rivne",256774,50.620000000000005,26.25,1.9e2
"Ukraine","Donetsk","Horlivka",256714,48.300000000000004,38.050000000000004,2.1e2
"Ukraine","Khmelnytskyi","Khmelnytskyi",255902,49.42,27.,2.9e2
"Ukraine","Dnipropetrovsk","Dniprodzerzhynsk",239237,48.5,34.62,1.4e2
