"Country","State","City","Population","Latitude","Longitude","Elevation"
"UnitedStates","New York","New York City",8804190,40.6642738,-73.9385004,10.
"UnitedStates","California","Los Angeles",3849297,34.0193936,-118.4108248,89.
"UnitedStates","Illinois","Chicago",2746388,41.8375511,-87.6818441,179.
"UnitedStates","Texas","Houston",2304580,29.7804724,-95.3863425,12.
"UnitedStates","Arizona","Phoenix",1608139,33.5721625,-112.0879662,331.
"UnitedStates","Pennsylvania","Philadelphia",1603797,40.0093755,-75.1333459,12.
"UnitedStates","Texas","San Antonio",1434625,29.4724026,-98.5251419,198.
"UnitedStates","California","San Diego",1386932,32.8152995,-117.134993,20.
"UnitedStates","Texas","Dallas",1304379,32.794176,-96.7655033,128.
"UnitedStates","California","San Jose",1013240,37.2968672,-121.8193058,26.
"UnitedStates","Texas","Austin",961855,30.3071816,-97.7559964,149.
"UnitedStates","Florida","Jacksonville",949611,30.3370193,-81.6613021,5.
"UnitedStates","Texas","Fort Worth",918915,32.7795423,-97.3463354,199.
"UnitedStates","Ohio","Columbus",905748,39.9847989,-82.9850438,235.
"UnitedStates","Indiana","Indianapolis",887642,39.7766644,-86.1459355,219.
"UnitedStates","North Carolina","Charlotte",874579,35.2087069,-80.8307389,229.
"UnitedStates","California","San Francisco",873965,37.759881,-122.437392,16.
"UnitedStates","Washington","Seattle",737015,47.6204993,-122.3508761,54.
"UnitedStates","Colorado","Denver",715522,39.7618487,-104.8806251,1609.
"UnitedStates","District of Columbia","Washington",689545,38.9041485,-77.0170942,7.
"UnitedStates","Oklahoma","Oklahoma City",681054,35.4670795,-97.5136565,366.
"UnitedStates","Texas","El Paso",678815,31.8483598,-106.426979,1133.
"UnitedStates","Massachusetts","Boston",675647,42.33196,-71.0201725,14.
"UnitedStates","Tennessee","Nashville",671295,36.1718001,-86.7850016,170.
"UnitedStates","Oregon","Portland",652503,45.5369506,-122.649971,12.
"UnitedStates","Nevada","Las Vegas",641903,36.2277116,-115.2640448,610.
"UnitedStates","Michigan","Detroit",639111,42.3830375,-83.1022365,183.
"UnitedStates","Tennessee","Memphis",633104,35.1035431,-89.9784984,78.
"UnitedStates","Kentucky","Louisville",618338,38.1653759,-85.6473774,142.
"UnitedStates","Maryland","Baltimore",585708,39.3002135,-76.6105159,10.
"UnitedStates","Wisconsin","Milwaukee",577222,43.0633484,-87.9666952,188.
"UnitedStates","New Mexico","Albuquerque",560786,35.1055517,-106.6473884,1510.
"UnitedStates","Arizona","Tucson",542629,32.1542888,-110.8710622,759.
"UnitedStates","California","Fresno",542107,36.7826736,-119.794492,94.
"UnitedStates","California","Sacramento",524943,38.5665924,-121.4686318,9.
"UnitedStates","Missouri","Kansas City",508090,39.125212,-94.5511362,274.
"UnitedStates","Arizona","Mesa",504258,33.4019259,-111.7173787,378.
"UnitedStates","Georgia","Atlanta",498715,33.7629088,-84.4226745,320.
"UnitedStates","Nebraska","Omaha",486051,41.2646751,-96.0419269,323.
"UnitedStates","Colorado","Colorado Springs",478961,38.8672553,-104.760749,1832.
"UnitedStates","North Carolina","Raleigh",467665,35.8302035,-78.6414394,96.
"UnitedStates","California","Long Beach",466742,33.8091018,-118.1553273,9.
"UnitedStates","Virginia","Virginia Beach",459470,36.7793219,-76.0240202,3.
"UnitedStates","Florida","Miami",442241,25.775163,-80.2086152,2.
"UnitedStates","California","Oakland",440646,37.7698573,-122.2256401,13.
"UnitedStates","Minnesota","Minneapolis",429954,44.9633235,-93.2682835,253.
"UnitedStates","Oklahoma","Tulsa",413066,36.1279488,-95.9023162,220.
"UnitedStates","California","Bakersfield",403455,35.3212129,-119.0182915,123.
"UnitedStates","Kansas","Wichita",397532,37.6906938,-97.3426776,396.
"UnitedStates","Texas","Arlington",394266,32.7007082,-97.1246912,184.
"UnitedStates","Colorado","Aurora",386261,39.6880021,-104.68974,1648.
"UnitedStates","Florida","Tampa",384959,27.9700861,-82.4796734,1.
"UnitedStates","Louisiana","New Orleans",383997,29.972754,-90.059011,0
"UnitedStates","Ohio","Cleveland",372624,41.4781381,-81.6794861,199.
"UnitedStates","California","Anaheim",346824,33.836165,-117.889769,48.
"UnitedStates","Hawaii","Honolulu",341555,21.324347,-157.8476402,5.
"UnitedStates","Kentucky","Lexington",324735,38.0401572,-84.4584429,305.
"UnitedStates","California","Stockton",320804,37.9763417,-121.3133043,4.
"UnitedStates","Texas","Corpus Christi",317863,27.742857,-97.401927,2.
"UnitedStates","Nevada","Henderson",317610,36.0122334,-115.0374619,569.
"UnitedStates","California","Riverside",314998,33.9381433,-117.3931675,252.
"UnitedStates","New Jersey","Newark",311549,40.7242204,-74.1725735,9.
"UnitedStates","California","Santa Ana",310227,33.736478,-117.8825931,35.
"UnitedStates","Ohio","Cincinnati",309317,39.1399019,-84.5064465,191.
"UnitedStates","California","Irvine",307670,33.6783986,-117.7712541,17.
"UnitedStates","Florida","Orlando",307573,28.533513,-81.375789,30.
"UnitedStates","Minnesota","Saint Paul",306717,44.9488695,-93.1038552,242.
"UnitedStates","Pennsylvania","Pittsburgh",302971,40.4397525,-79.9765919,233.
"UnitedStates","New York","Oyster Bay",302564,40.759466,-73.502753,55.
"UnitedStates","North Carolina","Greensboro",299035,36.0964835,-79.8271079,266.
"UnitedStates","Missouri","Saint Louis",297645,38.6356988,-90.2445816,142.
"UnitedStates","New Jersey","Jersey City",292449,40.7114174,-74.0647599,9.
"UnitedStates","Alaska","Anchorage",291247,61.177549,-149.2743541,31.
"UnitedStates","Nebraska","Lincoln",291082,40.8089574,-96.6803544,367.
"UnitedStates","Texas","Plano",285494,33.0507687,-96.747944,203.
"UnitedStates","North Carolina","Durham",283506,35.9809638,-78.9056471,123.
"UnitedStates","New York","Buffalo",278349,42.8924919,-78.8596862,183.
"UnitedStates","Arizona","Chandler",275987,33.2828736,-111.8549429,370.
"UnitedStates","California","Chula Vista",275487,32.6276701,-117.0151695,21.
"UnitedStates","Ohio","Toledo",270871,41.664071,-83.5818608,187.
"UnitedStates","Wisconsin","Madison",269840,43.0878055,-89.4301208,258.
"UnitedStates","Arizona","Gilbert",267918,33.3102088,-111.7421907,377.
"UnitedStates","Florida","Saint Petersburg",267802,27.7619755,-82.644055,13.
"UnitedStates","Nevada","Reno",264165,39.4744867,-119.7765384,1373.
"UnitedStates","Indiana","Fort Wayne",263886,41.0881729,-85.14388,247.
"UnitedStates","Nevada","North Las Vegas",262527,36.2829735,-115.0892625,565.
"UnitedStates","Texas","Lubbock",257141,33.5664787,-101.8866773,976.
"UnitedStates","Texas","Irving",256684,32.8577478,-96.9700224,147.
"UnitedStates","Texas","Laredo",255205,27.5476811,-99.4869309,126.
"UnitedStates","Virginia","Chesapeake",249422,36.6793761,-76.3017884,3.
"UnitedStates","Arizona","Glendale",248325,33.5331113,-112.1899006,351.
"UnitedStates","North Carolina","Winston‐Salem",248112,36.1032616,-80.2605782,293.
"UnitedStates","Texas","Garland",246018,32.9098261,-96.6303571,168.
"UnitedStates","Arizona","Scottsdale",241361,33.6687267,-111.8236822,383.
"UnitedStates","Virginia","Arlington",238643,38.8783374,-77.1007034,71.
"UnitedStates","Virginia","Norfolk",238005,36.9230149,-76.2446413,2.
"UnitedStates","New York","North Hempstead",237639,40.8033574,-73.6784021,51.
"UnitedStates","California","Fremont",230504,37.4943734,-121.9411173,17.
"UnitedStates","Idaho","Boise City",229776,43.5984881,-116.2310843,823.
"UnitedStates","Washington","Spokane",228989,47.6735545,-117.4165955,571.
"UnitedStates","California","Santa Clarita",228673,34.4048756,-118.5047007,368.
"UnitedStates","Louisiana","Baton Rouge",227470,30.4484535,-91.1258993,14.
"UnitedStates","Virginia","Richmond",226610,37.531399,-77.4760085,64.
"UnitedStates","Florida","Hialeah",223109,25.8699408,-80.302865,2.
"UnitedStates","California","San Bernardino",222101,34.1392611,-117.2953165,321.
"UnitedStates","Nevada","Enterprise",221831,36.0181935,-115.2153733,778.
